ID,SECTION,CARD,PROFIT (k/h),COST (M),RATIO (%),,0.03,45
81,Web3,NFT Marketplace,0.00,1.00,0.0%,,,
82,Web3,Grant for Developers,90.2,33.23,271.4%,,,
83,Web3,NFT Metaverse,23.96,6.97,343.8%,,,
84,Web3,Crypto Farming,60.42,23.98,252.0%,,,
85,Web3,Sport Collectibles Marketplace,15.79,4.98,317.1%,,,
86,Web3,Market Making,0.00,1.00,0.0%,,,
87,Web3,Web3 Advertising Platform,8.06,2.08,387.5%,,,
88,Specials,Finals are approaching,0.00,1.00,0.0%,,,
89,Specials,Hamster with friends,6.77,1.66,407.8%,,,
90,Specials,Hamster helps whales,50.26,22.49,223.5%,,,
91,Specials,Vipassana hamster,18.5,36.01,51.4%,,,
92,Specials,University hamster,24.81,7.64,324.7%,,,
93,Specials,TON listing on Binance,50.35,14.39,349.9%,,,
94,Specials,Gym hamster,11.27,3.99,282.5%,,,
95,Specials,Healthy nutrition hamster,18.04,5.65,319.3%,,,
96,Specials,Sleeping hamster,13.53,4.98,271.7%,,,
97,Specials,HamsterGPT,40.59,18.28,222.0%,,,
98,Specials,Telegram Stars Integration,18.04,5.65,319.3%,,,
99,Specials,Telegram Miniapp Launch,25.13,18.13,138.6%,,,
100,Specials,Hamster Analytics,40.28,11.99,335.9%,,,
101,Specials,50M Telegram channel,20.14,7.99,252.1%,,,
102,Specials,HamsterStore launch,125.65,68.91,182.3%,,,
103,Specials,HamsterWatch for soulmate,5.75,2.65,217.0%,,,
104,Specials,Call for BTC to rise,10.35,6.38,162.2%,,,
105,Specials,Business jet,3.00,13.23,22.7%,,,
106,Specials,CX Hub Istanbul,75.39,39.89,189.0%,,,
107,Specials,Hamsters break records,38,11.92,318.8%,,,
108,Specials,X Network 10 Million,10.05,5.08,197.8%,,,
109,Specials,Hamster Green energy,55.78,28.26,197.4%,,,
110,Specials,Youtube 25 Million,58.57,29.93,195.7%,,,
111,Specials,TG Leaders,70.93,88.02,80.6%,,,
112,Specials,Premarket Launch,103.62,23.84,434.6%,,,
113,Specials,Hamster Kombat merch,2.51,2.18,115.1%,,,
114,Specials,TON + Hamster Kombat = Success,78.92,42.81,184.3%,,,
115,Specials,Consensus Piranha Pass,42.85,16.61,258.0%,,,
116,Specials,Web3 academy launch,46.26,44.01,105.1%,,,
117,Specials,Youtube Gold Button,9.35,25.28,37.0%,,,
118,Specials,Hamster YouTube Channel,8.50,15.17,56.0%,,,
119,Specials,Bitcoin Pizza Day,3.40,10.11,33.6%,,,
120,Specials,Top 10 Global Ranking,33.47,16.63,201.3%,,,
121,Specials,Special Hamster Conference,25.1,8.31,302.0%,,,
122,Specials,There are two chairs…,45.1,16.61,271.5%,,,
123,Specials,Apps Center Listing,27.89,24.94,111.8%,,,
124,Specials,Bogdanoff is calling,11.94,3.63,328.9%,,,
125,Specials,11 years Telegram,95.19,0.61228,15546.8%,,,
